,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
1510,Young Girl,Gary Puckett & The Union Gap,"adult standards, bubblegum pop, country rock, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock",Young Girl: The Best Of Gary Puckett & The Union Gap,compilation,1968-01-01,https://i.scdn.co/image/ab67616d00004851004dcd74f13a40f050de0e03,0.653,0.408,0.544,0.0,0.5353535353535354,0.0333,3F64pIPqvcujnwvcVLVZ64,1968
1511,Lady Willpower,Gary Puckett & The Union Gap,"adult standards, bubblegum pop, country rock, folk rock, mellow gold, merseybeat, rock-and-roll, rockabilly, soft rock",Young Girl: The Best Of Gary Puckett & The Union Gap,compilation,1968-01-01,https://i.scdn.co/image/ab67616d00004851004dcd74f13a40f050de0e03,0.506,0.548,0.518,0.0,0.3939393939393939,0.0288,2v32CGfALncxmdlF4JbKZ4,1968
1512,For Your Love,The Yardbirds,"album rock, blues rock, british blues, british invasion, classic rock, country rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter",The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling,compilation,2002-05-08,https://i.scdn.co/image/ab67616d0000485195670c43925b9ce8a437c9b4,0.236,0.347,0.638,0.0,0.46464646464646464,0.0409,5bC4y9Zhn6ng0MOzACCHkc,2002
1514,Barbara Ann - Single Version / Remastered 2001,The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",The Very Best Of The Beach Boys: Sounds Of Summer,compilation,2003-01-01,https://i.scdn.co/image/ab67616d00004851c5634c0532097e175199f07e,0.327,0.594,0.553,0.0,0.48484848484848486,0.0342,2pw36KAhXcFPmYaPHmuMNd,2003
1515,Kokomo,The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",The Very Best Of The Beach Boys: Sounds Of Summer,compilation,2003-01-01,https://i.scdn.co/image/ab67616d00004851c5634c0532097e175199f07e,0.00863,0.682,0.635,0.0,0.7272727272727273,0.0346,5qHYXcVvc9xsFB2uH7GpMN,2003
1516,California Girls - Remix/Remastered 2001,The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",The Very Best Of The Beach Boys: Sounds Of Summer,compilation,2003-01-01,https://i.scdn.co/image/ab67616d00004851c5634c0532097e175199f07e,0.127,0.419,0.696,1.83e-06,0.40404040404040403,0.0354,12MpjrMqrvZYxEb4NkHWvI,2003
1518,When a Man Loves a Woman,Percy Sledge,"classic soul, rock-and-roll, soul, southern soul",When a Man Loves a Woman,album,1966-01-01,https://i.scdn.co/image/ab67616d000048510c8a01bf197adb9859044775,0.13,0.516,0.15,0.0755,0.7171717171717171,0.0272,51FpzuGkRYXFgsE2zXt9av,1966
1520,Da Doo Ron Ron (When He Walked Me Home),The Crystals,"classic girl group, doo-wop, rock-and-roll",The Crystals Sing The Greatest Hits Vol. 1,compilation,2012-04-24,https://i.scdn.co/image/ab67616d00004851fe6c182c8ccd637e5479727b,0.493,0.524,0.791,4.01e-05,0.15151515151515152,0.0451,6YskcX9447LDIveer6lw4x,2012
1521,Tighten Up - Remastered,Archie Bell & The Drells,"classic soul, northern soul, philly soul, soul, southern soul","Atlantic 60th: Soul, Sweat And Strut",compilation,2007-10-30,https://i.scdn.co/image/ab67616d0000485146a64b08174858852449135d,0.148,0.572,0.769,0.000469,0.25252525252525254,0.0899,2pBgtxhgqevCHEnJ7W5UKI,2007
1522,The Wanderer,Dion,"doo-wop, rock-and-roll, rockabilly",The Best Of Dion & The Belmonts,compilation,2005-01-01,https://i.scdn.co/image/ab67616d00004851605566683bef0b421bf8bf52,0.823,0.605,0.544,0.00579,0.5656565656565656,0.0682,4EoUALVwY4i7U6uKRhk8hr,2005
1523,A Teenager In Love,Dion & The Belmonts,"brill building pop, doo-wop, rock-and-roll, rockabilly",The Best Of Dion & The Belmonts,compilation,2005-01-01,https://i.scdn.co/image/ab67616d00004851605566683bef0b421bf8bf52,0.635,0.564,0.283,0.0,0.494949494949495,0.0407,6AhHYWJOBMRjEi2z1tWpYa,2005
1525,Cherish,The Association,"bubblegum pop, classic garage rock, country rock, folk rock, mellow gold, singer-songwriter, soft rock, sunshine pop",Just The Right Sound: The Association Anthology [Digital Version],compilation,2006-04-11,https://i.scdn.co/image/ab67616d000048512dc8d1590695844806c6d57b,0.726,0.494,0.407,0.0,0.3434343434343434,0.0345,5fmtvzDvwlfvNjdNrOj8TA,2006
1526,96 Tears,? & The Mysterians,"chicano punk, classic garage rock, detroit rock, protopunk",96 Tears,album,1966-01-01,https://i.scdn.co/image/ab67616d000048513042a878fe015b7103f136f1,0.0624,0.65,0.562,3.21e-05,0.5555555555555556,0.0345,4PEeZ2U4UfP2Jo8EtIOjus,1966
1527,"Mrs. Brown, You've Got A Lovely Daughter",Herman's Hermits,"british invasion, classic rock, folk rock, rock-and-roll, singer-songwriter","Mrs. Brown, You've Got A Lovely Daughter (Music From The Original Soundtrack)",album,1968-01-01,https://i.scdn.co/image/ab67616d000048511c7e81cd6ea7bddc54256e2c,0.766,0.608,0.498,0.178,0.26262626262626265,0.0523,1VWiyQ5BiUi3gS6DDPnkTv,1968
1528,There's A Kind Of Hush,Herman's Hermits,"british invasion, classic rock, folk rock, rock-and-roll, singer-songwriter","Mrs. Brown, You've Got A Lovely Daughter (Music From The Original Soundtrack)",album,1968-01-01,https://i.scdn.co/image/ab67616d000048511c7e81cd6ea7bddc54256e2c,0.0472,0.532,0.688,0.0686,0.1919191919191919,0.0367,4WAqN2hypme2StcIZUR3D5,1968
1529,Bye Bye Baby (Baby Goodbye),Frankie Valli & The Four Seasons,"adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",The Very Best of Frankie Valli & The 4 Seasons,compilation,2003-01-14,https://i.scdn.co/image/ab67616d00004851b96c21e15c091eb98a6c88a4,0.0543,0.49,0.579,0.0,0.41414141414141414,0.0402,4Gx5o90mo9HYZxE9GoxcP8,2003
1530,Leader Of The Pack,The Shangri-Las,"brill building pop, classic girl group, rock-and-roll",Leader Of The Pack,compilation,1998-01-01,https://i.scdn.co/image/ab67616d00004851dd11279193e0dbfe1136e8e2,0.725,0.417,0.546,0.0,0.4444444444444444,0.0858,6wzLLGFlWQ5jqTL13MU069,1998
1531,Hello Mary Lou (Goodbye Heart),Ricky Nelson,"adult standards, doo-wop, rock-and-roll, rockabilly",Greatest Love Songs,compilation,2008-01-01,https://i.scdn.co/image/ab67616d00004851b364e6db443d84cdd1ec22db,0.158,0.559,0.78,6.89e-06,0.48484848484848486,0.0328,0IMS1Za69G3KHMX4liB2Nr,2008
1532,Travelin' Man - Remastered,Ricky Nelson,"adult standards, doo-wop, rock-and-roll, rockabilly",The Best Of Rick Nelson (Vol. 2),compilation,1991-01-01,https://i.scdn.co/image/ab67616d000048515993dbbc953b655bb3544f4d,0.669,0.741,0.363,0.0,0.41414141414141414,0.0335,2jc4wyf3ys0zKCpxHRjEYx,1991
1534,He Ain't Heavy He's My Brother,The Hollies,"album rock, british invasion, classic rock, folk rock, mellow gold, merseybeat, soft rock",The Best of the Hollies,compilation,1986-03-01,https://i.scdn.co/image/ab67616d0000485195e93a95c2e6977fc9a4d2ad,0.444,0.319,0.275,0.000365,0.050505050505050504,0.0303,5oPVpbe3gcj07ZIFtTWmCl,1986
